Route_name,Activity,Starting_Point,Distance,Elevation_gain,Rank1,Rank2,ImageUrl1,ImageUrl2,ImageUrl3
Vallter - Pic de la Dona - Pic de Prat de Bacivers - Pic de Bastiments - Vallter,Senderisme,"a prop de Setcases, Catalunya (España)","12,01km",937m,99,4.85,https://s1.wklcdn.com/image_1/45562/10603480/6396028.400x300.jpg,https://s2.wklcdn.com/image_1/45562/10603480/6396158.400x300.jpg,https://s1.wklcdn.com/image_1/45562/10603480/6396169.400x300.jpg
Ruta megalítica de la Roca del Vallès-Turó Rodó-Sant Bartomeu de Cabanyes-Bosc Encantat d'Òrrius,Senderisme,"a prop de La Roca del Vallès, Catalunya (España)","13,65km",518m,99,4.57,https://s1.wklcdn.com/image_1/45562/8881871/5246302.400x300.jpg,https://s2.wklcdn.com/image_1/45562/8881871/5246306.400x300.jpg,https://s1.wklcdn.com/image_1/45562/8881871/5246314.400x300.jpg
Puig del Far des de Vilanova de Sau,Senderisme,"a prop de Vilanova de Sau, Catalunya (España)","7,97km",352m,99,4.94,https://s1.wklcdn.com/image_5/170754/23212553/14729731.400x300.jpg,https://s0.wklcdn.com/image_5/170754/23212553/14729733.400x300.jpg,https://s0.wklcdn.com/image_5/170754/23212553/14729736.400x300.jpg
Rupit-Puig del Castell de la Bastida-Salt de Sallent-Sant Joan de Fàbregues-Mirador dels Bassis- Rupit,Senderisme,"a prop de Rupit, Catalunya (España)","12,51km",715m,98,4.76,https://s1.wklcdn.com/image_1/45562/22767660/14423548.400x300.jpg,https://s0.wklcdn.com/image_1/45562/22767660/14423622.400x300.jpg,https://s1.wklcdn.com/image_1/45562/22767660/14423656.400x300.jpg
"101212 100 Cims (E). PRADES. Ermita de L'Abellera,Roca Corbs,Coves d'en Pere, 'Tossal Baltasana'. GR 171 de volta",Senderisme,"a prop de Prades, Catalunya (España)","11,20km",352m,98,4.8,https://s1.wklcdn.com/image_3/106466/1351942/443608.400x300.jpg,https://s0.wklcdn.com/image_3/106466/1351942/443592.400x300.jpg,https://s2.wklcdn.com/image_3/106466/1351942/443588.400x300.jpg
"Castell de Bocs per Bauma de l’Endaló, Fonts de Rellinars, Cova Pedregosa, Camí Ral i Carena de La Trona desde Rellinars",Senderisme,"a prop de Rellinars, Catalunya (España)","11,80km",464m,98,4.85,https://s2.wklcdn.com/image_32/961503/32820409/22806005.400x300.jpg,https://s1.wklcdn.com/image_32/961503/32820409/22806013.400x300.jpg,https://s0.wklcdn.com/image_32/961503/32820409/22806021.400x300.jpg
140819 100 Cims . ALT URGELL - CERDANYA . ' Mirador del Pla de Llet ' des del Fornell (Estació d'Esqui Aransa),Senderisme,"a prop de Arànser, Catalunya (España)","8,41km",338m,98,4.96,https://s1.wklcdn.com/image_3/106466/7583945/4339186.400x300.jpg,https://s0.wklcdn.com/image_3/106466/7583945/4339197.400x300.jpg,https://s2.wklcdn.com/image_3/106466/7583945/4339199.400x300.jpg
Salts i Gorgs del Torrent del Puig-Mina dels Bandolers-Grau d'Olot,Senderisme,"a prop de els Hostalets d'en Bas, Catalunya (España)","8,18km",627m,98,4.42,https://s0.wklcdn.com/image_1/45562/7106272/4015956.400x300.jpg,https://s1.wklcdn.com/image_1/45562/7106272/4015963.400x300.jpg,https://s1.wklcdn.com/image_1/45562/7106272/4015969.400x300.jpg
Alzina del salari - Hospital de Sang - Turó de tres creus,Senderisme,"a prop de Mura, Catalunya (España)","7,28km",382m,98,4.74,https://s1.wklcdn.com/image_19/599916/6504060/3598702.400x300.jpg,https://s2.wklcdn.com/image_19/599916/6504060/3599048.400x300.jpg,https://s1.wklcdn.com/image_19/599916/6504060/3599095.400x300.jpg
Coll del Pal - El Taga (2040 m. ) - Puig de Coma d'Olla (1938 m.)-Puig Estela (2013 m.)-Coll del Pal,Senderisme,"a prop de Ogassa, Catalunya (España)","12,44km",753m,98,4.89,https://s2.wklcdn.com/image_1/45562/3456925/1534781.400x300.jpg,https://s0.wklcdn.com/image_1/45562/3456925/1534788.400x300.jpg,https://s1.wklcdn.com/image_1/45562/3456925/1534798.400x300.jpg
